Item_name,Item_href,Brand,Model,Energy_Efficiency,Capacity,Noise_Level,Installation_Type,Part_No,Color,Control_Console,Voltage,Wattage,ASIN,Best_Sellers_Rank_Category_AC,Best_Sellers_Rank_Category_home_kitchen,MRP,Offer_Price,No_of_Reviews,Review_1,Review_2,Review_3,Review_4,Review_5,Review_6,Review_7,Review_8,good_service,bad_service,good_installation,bad_installation,good_cooling,bad_cooling,noise
"Blue Star 5HW18ZCW1 Split AC (1.5 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-5HW18ZCW1-Rating-Aluminium/dp/B00REFY13G/ref=sr_1_208/255-0990334-3122366?ie=UTF8&qid=1485079627&s=kitchen&sr=1-208,Blue Star,5HW18ZCW1,5 Star Rating,1.5 tons,,Split,,White,,230 Volts,1500 Watts,B00REFY13G,#236,"#2,46,736",44100.0,42400.0,1 review,Copper winding?,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW24VC1 Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW24VC1-Rating-Copper/dp/B00NU2E89E/ref=sr_1_140/255-9022543-9106847?ie=UTF8&qid=1485079627&s=kitchen&sr=1-140,Blue Star,3HW24VC1,3 Star Rating,2 tons,47 dB,Split,3HW24VC1,White,Remote Control,230 Volts,1910 Watts,B00NU2E89E,#188,"#2,00,813",,43940.0,1 review,"quite good, silent and to my expectation. Would recommend my friends",,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW24JBX Split AC (2 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW24JBX-Rating-Aluminium/dp/B00O7MTMO2/ref=sr_1_129/255-9022543-9106847?ie=UTF8&qid=1485079627&s=kitchen&sr=1-129,Blue Star,3HW24JBX,3 Star Rating,2 tons,48 dB,Split,3HW24JB1,White,,230 Volts,1985 Watts,B00O7MTMO2,#138,"#1,38,319",45600.0,41399.0,2 reviews,AC did NOT contain copper pipe due to which had to talk to Amazon and arrange one formthe techincian. AC had so techinical problem in the power supply which had to be repaired and took one whole day for installation etc.Amazon delivery was quick andin time,If you are not the person who is not looking for copper coil then go for it. I have my hall and dining covered with this one. The cooling effect is very good and fast which I was not expecting from this.,,,,,,,4,3,3,10,1.0,0.0,0.0
"Blue Star 3HW12FA1 Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW12FA1-Rating-Aluminium/dp/B00REFX2XQ/ref=sr_1_134/255-9022543-9106847?ie=UTF8&qid=1485079627&s=kitchen&sr=1-134,Blue Star,3HW12FA1,3 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,1080 Watts,B00REFX2XQ,#145,"#1,44,819",31700.0,27599.0,6 reviews,Indoor unit panel had scratches.I have noticed it after it was installed..I humbly request for a change in indoor panel not an entire set.I trust blue star.I  had the similar problem with lg they replaced it in 3 days.When we purchase anything new we feel that our product should be neat and clean. But if we get such type of things we feel unhappy.So amazon or blue star co. Have minimal courtesy for me n please change the panel.,"the installation team is really unprofessional. hv encountered gas leak problem twice within 2 months. the problem is either a manufacturing defect or an unqualified installation, yet to be resolved. one of the worst customer service by blue star.",Good quality product with timely installation and delivery.,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star CNHW09CAF Inverter AC (0.8 Ton, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-CNHW09CAF-Inverter-Copper/dp/B00U24Z0XG/ref=sr_1_137/255-9022543-9106847?ie=UTF8&qid=1485079627&s=kitchen&sr=1-137,Blue Star,CNHW09CAF,Inverter,0.8 tons,,Split,,White,Remote Control,230 Volts,1350 Watts,B00U24Z0XG,#209,"#2,24,379",37500.0,33999.0,1 review,"Bluest at product and installation both very good. The only fly in the ointment is the cost of installation and the bracket which, at a out INR 2500, offsets any discount offered. Amazon need to start including installation charges so that customers are spared hidden costs",,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-3HW12FAX Split AC (1 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3HW12FAX-Split-Rating/dp/B01CFY8RQ2/ref=sr_1_217/255-2374361-0002749?ie=UTF8&qid=1485079627&s=kitchen&sr=1-217,Blue Star,BI-3HW12FAX,3 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,,B01CFY8RQ2,#284,"#2,81,294",,26990.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star CNHW12CAF Inverter Split AC (1 Ton, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-CNHW12CAF-Inverter-Copper/dp/B00RVIB2N8/ref=sr_1_89/253-1610000-2851616?ie=UTF8&qid=1485079627&s=kitchen&sr=1-89,Blue Star,CNHW12CAF,Inverter,1 tons,37 dB,Split,,White,,230 Volts,,B00RVIB2N8,#107,"#1,11,986",40000.0,32278.84,13 reviews,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 2WAE081YC Window AC (0.75 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-2WAE081YC-Window-Rating/dp/B00REFVXNM/ref=sr_1_32/254-3833579-0934825?ie=UTF8&qid=1485079627&s=kitchen&sr=1-32,Blue Star,2WAE081YC,2 Star Rating,0.75 tons,53 dB,Window,2WAE081YC,White,,230 Volts,925 Watts,B00REFVXNM,#69,"#56,979",20500.0,16500.0,4 reviews,"Worst and i would say the worst of worst service after purchase of this AC from Blue star. No body called up for installation and I had to call Blue star again and again so many times and escalated also,then too the service of their engineers and way of dealing with customer is pathetic.I would say blue star is hampering their own good will with this kind of service.Wont like to give a single star also.",Good for a small room.,Excellent product and value for money,The product is not up to the satisfaction it is not cooling in tiny small room,,,,,4,3,3,10,0.0,1.0,0.0
"Blue Star BI-3HW18FAX Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3HW18FAX-Rating-Aluminium/dp/B01CFY8RT4/ref=sr_1_67?ie=UTF8&qid=1485079701&s=kitchen&sr=1-67,Blue Star,BI-3HW18FAX,3 Star Rating,1.5 tons,,Split,,White,Remote Control,230 Volts,,B01CFY8RT4,#103,"#1,05,606",,32999.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 2WAE121YC Window AC (1 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-2WAE121YC-Window-Rating/dp/B00WU342QI/ref=sr_1_69?ie=UTF8&qid=1485079701&s=kitchen&sr=1-69,Blue Star,2WAE121YC,2 Star Rating,1 tons,50 dB,Window,,White,,230 Volts,1230 Watts,B00WU342QI,#64,"#49,665",24000.0,20000.0,1 review,"Its been a couple of weeks, works fine, low sound which also depends on quality of installation, the guy who came & did the window work did a decent job. As of now i am happy with the product.",,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW18FA/X1 Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW18FA-Rating-Aluminium/dp/B00LSJZJSU/ref=sr_1_71?ie=UTF8&qid=1485079701&s=kitchen&sr=1-71,Blue Star,3HW18FA1,3 Star Rating,1.5 tons,42 dB,Split,3HW18FA1,White,Remote Control,230 Volts,1550 Watts,B00LSJZJSU,#97,"#98,510",36800.0,30000.0,7 reviews,No warranty provided by BlueStar on Ac's purchased online through Amazon or anyone else...,working in good condition (blue star )cooling is super,Excellent product. Good installation service from Blue Star.,Excellent,,,,,4,3,3,10,1.0,0.0,0.0
"Blue Star 5HW12SA1 Split AC (1 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-5HW12SA1-Rating-Aluminium/dp/B00REFXQK0/ref=sr_1_128/253-5391373-5772227?ie=UTF8&qid=1485081721&s=kitchen&sr=1-128,Blue Star,5HW12SA1,5 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,1005 Watts,B00REFXQK0,#131,"#1,35,997",35300.0,30000.0,1 review,Timely delivery and good quality product.. One star less for poor customer service.,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW18FB1 Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW18FB1-Rating-Copper/dp/B00WU347WM/ref=sr_1_561/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-561,Blue Star,3HW18FB1,3 Star Rating,1.5 tons,42 dB,Split,,White,Remote Control,230 Volts,1550 Watts,B00WU347WM,,,38800.0,36600.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW24FB1 Split AC (2 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW24FB1-Rating-Copper/dp/B00WU34E20/ref=sr_1_560/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-560,Blue Star,3HW24FB1,3 Star Rating,2 tons,48 dB,Split,,White,Remote Control,230 Volts,1960 Watts,B00WU34E20,,,47600.0,44900.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW12FC1 Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW12FC1-Rating-Copper/dp/B00Y05ZVV4/ref=sr_1_553/255-6401717-3654001?ie=UTF8&qid=1485080007&s=kitchen&sr=1-553,Blue Star,3HW12FC1,3 Star Rating,1 tons,,Split,3HW12FC1,White,,,1055 Watts,B00Y05ZVV4,,,32300.0,30055.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3WAE081YDF Window AC (0.75 Ton, 3 Star Rating, White): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3WAE081YDF-Window-Rating/dp/B01CFY8RBM/ref=sr_1_471/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-471,Blue Star,3WAE081YDF,3 Star Rating,0.75 tons,,Window,,White,Remote Control,,,B01CFY8RBM,#665,"#6,34,465",,18500.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-5HW18ZARTX Split AC (1.5 Ton, 3 Star Rating, Wine Red): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW18ZARTX-Split-Rating/dp/B01CFY9AUY/ref=sr_1_457/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-457,Blue Star,BI-5HW18ZARTX,5 Star Rating,1.5 tons,,Split,,Wine Red,Remote Control,230 Volts,,B01CFY9AUY,,,,43500.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-3HW12VCU Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3HW12VCU-Rating-Copper/dp/B01CFY9400/ref=sr_1_467/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-467,Blue Star,BI-3HW12VCU,3 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,,B01CFY9400,#552,"#5,25,575",,28600.0,1 review,No command's,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-3CNHW18CAFU Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3CNHW18CAFU-Rating-Copper/dp/B01CFY8Y2O/ref=sr_1_468/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-468,Blue Star,BI-3CNHW18CAFU,3 Star Rating,1.5 tons,,Split,,White,Remote Control,230 Volts,,B01CFY8Y2O,,,,43500.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-5HW12SAFX Split AC (1 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW12SAFX-Rating-Aluminium/dp/B01CFY941E/ref=sr_1_466/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-466,Blue Star,BI-5HW12SAFX,3 Star Rating,1 tons,,Split,,White,Remote Control,,,B01CFY941E,,,,36400.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3W12LA Window AC (0.75 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3W12LA-Window-Rating/dp/B01CFY8RJO/ref=sr_1_470/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-470,Blue Star,3W12LA,2 Star Rating,0.75 tons,,Window,,White,Remote Control,230 Volts,,B01CFY8RJO,,,,22100.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-3CNHW12CAFU Split AC (1 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3CNHW12CAFU-Rating-Copper/dp/B01CFY8XW0/ref=sr_1_469/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-469,Blue Star,BI-3CNHW12CAFU,3 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,,B01CFY8XW0,,,,35500.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-3HW18VCU Split AC (1.5 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3HW18VCU-Rating-Copper/dp/B01CFY94HI/ref=sr_1_463/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-463,Blue Star,BI-3HW18VCU,3 Star Rating,1.5 tons,,Split,,White,Remote Control,230 Volts,,B01CFY94HI,#523,"#5,12,467",,35498.0,6 reviews,Running good so far. Cooling is great. It's been about 2 weeks sixne I've been using it. Looks pretty nice and has a great LED display. Running at 24 in Mumbai heat and does great. I'm hoping to see it last long.,Efficient in both cooling and energy consumption,Noise. Free and very stable cooling,,,,,,4,3,3,10,3.0,0.0,0.0
"Blue Star BI-3HW09VCFU Split AC (0.75 Ton, 3 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3HW09VCFU-Rating-Copper/dp/B01CFY94G4/ref=sr_1_464/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-464,Blue Star,BI-3HW09VCFU,3 Star Rating,0.75 tons,,Split,,White,Remote Control,,,B01CFY94G4,,,,28800.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-5HW18SAFX Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW18SAFX-Rating-Aluminium/dp/B01CFY94JG/ref=sr_1_462/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-462,Blue Star,BI-5HW18SAFX,3 Star Rating,1.5 tons,,Split,,White,Remote Control,,,B01CFY94JG,,,,43600.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-5HW18ZAWTX Split AC (1.5 Ton, 5 Star Rating, White): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW18ZAWTX-Split-Rating/dp/B01CFY9AMW/ref=sr_1_460/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-460,Blue Star,BI-5HW18ZAWTX,5 Star Rating,1.5 tons,,Split,,White,Remote Control,,,B01CFY9AMW,,,,39920.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-3HW18HAFX Split AC (1.5 Ton, 3 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-3HW18HAFX-Rating-Aluminium/dp/B01CFY94CI/ref=sr_1_465/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-465,Blue Star,BI-3HW18HAFX,3 Star Rating,1.5 tons,,Split,,White,Remote Control,,,B01CFY94CI,,,,37900.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star BI-5HW12ZAWTX Split AC (1 Ton, 5 Star Rating, White, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-BI-5HW12ZAWTX-Rating-Aluminium/dp/B01CFY9AK4/ref=sr_1_461/253-6029875-4538509?ie=UTF8&qid=1485080008&s=kitchen&sr=1-461,Blue Star,BI-5HW12ZAWTX,5 Star Rating,1 tons,,Split,,White,Remote Control,230 Volts,,B01CFY9AK4,,,,36400.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 3HW12JB1 Split AC (1 Ton, 3 Star Rating, Golden, Aluminium): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-3HW12JB1-Rating-Aluminium/dp/B00RZCRG0S/ref=sr_1_300/255-2574919-0037163?ie=UTF8&qid=1485080008&s=kitchen&sr=1-300,Blue Star,3HW12JB1,3 Star Rating,1 tons,40 dB,Split,,Golden,,230 Volts,1085 Watts,B00RZCRG0S,#326,"#3,22,950",31700.0,29250.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
"Blue Star 2W24LA Window AC (2 Ton, 2 Star Rating, White, Copper): Amazon.in: Home & Kitchen",http://www.amazon.in/Blue-Star-2W24LA-Window-Rating/dp/B00RZCQWXK/ref=sr_1_301/255-2574919-0037163?ie=UTF8&qid=1485080008&s=kitchen&sr=1-301,Blue Star,2W24LA,2 Star Rating,2 tons,57 dB,Window,,White,,230 Volts,2080 Watts,B00RZCQWXK,#318,"#3,12,352",34000.0,29000.0,,,,,,,,,,4,3,3,10,0.0,0.0,0.0
